,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
41,41,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
42,42,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
43,43,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
44,44,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
45,45,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
46,46,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
47,47,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
48,48,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
49,49,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
50,50,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
51,51,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
52,52,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
53,53,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
