,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
26,26,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,1,0.9,0,-1492368.6767,0,-1846595.1448,-1846595.1448,0.0,3879536.7247,0,3191068.3959,0.0,55.76738761598577,55.76738761598577,0.0,113.4282506627961,113.4282506627961,2049.0,2035.0,24.82,18.5466,30.8036,62.653,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,352759.9302,1952005.9579,0,476822.2015,18651.4582
27,27,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,1,0.9,0,-1492368.6767,0,-1744951.7719,-1744951.7719,0.0,3879536.7247,0,3191068.3959,0.0,68.45426185922963,68.45426185922963,0.0,113.4282506627961,113.4282506627961,2049.0,2037.0,24.82,19.9292,30.8036,51.0413,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,423845.2103,1952005.9579,0,646313.8246,15414.4282
28,28,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,0.9,0,-1492368.6767,0,-1622431.5262,-1622431.5262,0.0,3879536.7247,0,3191068.3959,0.0,100.45528059010171,100.45528059010171,0.0,113.4282506627961,113.4282506627961,2049.0,2044.0,24.82,23.4883,30.8036,34.7816,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,567865.245,1952005.9579,0,905349.7158,7910.039
29,29,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,0.9,0,-1492368.6767,0,-1492368.6767,-1492368.6767,0.0,3879536.7247,0,3191068.3959,0.0,113.4282506627961,113.4282506627961,0.0,113.4282506627961,113.4282506627961,2049.0,2049.0,24.82,24.82,30.8036,30.8036,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119
30,30,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,0.9,0,-1492368.6767,0,-1367280.7538,-1367280.7538,0.0,3879536.7247,0,3191068.3959,0.0,116.38798834591618,116.38798834591618,0.0,113.4282506627961,113.4282506627961,2049.0,2053.0,24.82,25.1941,30.8036,30.0202,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,611739.9385,1952005.9579,7229.7067,1207049.478,3354.6287
31,31,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,1,0.9,0,-1492368.6767,0,-1246655.7945,-1246655.7945,0.0,3879536.7247,0,3191068.3959,0.0,116.46891313473999,116.46891313473999,0.0,113.4282506627961,113.4282506627961,2049.0,2054.0,24.82,25.2066,30.8036,29.9994,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,611881.5498,1952005.9579,17142.1086,1337423.4843,3049.6625
32,32,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,1,0.8,0,-1414454.0805,0,0,0,0.0,3448477.0887,0,3191068.3959,0.0,0.0,0.0,0.0,87.35241790443628,87.35241790443628,2044.0,2020.0,23.4883,0,30.917,0,567865.245,1735116.4071,0,895558.7173,7031.1458,0,0,0,0,0
33,33,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,1,0.8,0,-1414454.0805,0,-1698272.4344,-1698272.4344,0.0,3448477.0887,0,3191068.3959,0.0,16.662244989480353,16.662244989480353,0.0,87.35241790443628,87.35241790443628,2044.0,2030.0,23.4883,15.1416,30.917,155.3057,567865.245,1735116.4071,0,895558.7173,7031.1458,131208.0902,1687941.2857,0,147577.706,26700.7643
34,34,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,1,0.8,0,-1414454.0805,0,-1689169.0518,-1689169.0518,0.0,3448477.0887,0,3191068.3959,0.0,35.27178613626625,35.27178613626625,0.0,87.35241790443628,87.35241790443628,2044.0,2033.0,23.4883,17.1985,30.917,76.5675,567865.245,1735116.4071,0,895558.7173,7031.1458,265105.351,1735116.4071,0,331113.3857,20060.6794
35,35,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,1,0.8,0,-1414454.0805,0,-1609303.781,-1609303.781,0.0,3448477.0887,0,3191068.3959,0.0,54.349659704293394,54.349659704293394,0.0,87.35241790443628,87.35241790443628,2044.0,2036.0,23.4883,19.2269,30.917,49.6907,567865.245,1735116.4071,0,895558.7173,7031.1458,390522.0251,1735116.4071,0,531406.5366,15071.8854
36,36,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,0.8,0,-1414454.0805,0,-1519729.3839,-1519729.3839,0.0,3448477.0887,0,3191068.3959,0.0,64.2413125658552,64.2413125658552,0.0,87.35241790443628,87.35241790443628,2044.0,2038.0,23.4883,20.5984,30.917,42.0395,567865.245,1735116.4071,0,895558.7173,7031.1458,453207.1708,1735116.4071,0,681050.2976,12456.1036
